01/01/2019 06:30:00,Luke 1
02/01/2019 06:30:00,Luke 2
03/01/2019 06:30:00,Luke 3
04/01/2019 06:30:00,Luke 4
05/01/2019 06:30:00,Psalm 1
06/01/2019 06:30:00,Psalm 3
07/01/2019 06:30:00,Luke 5
08/01/2019 06:30:00,Luke 6
09/01/2019 06:30:00,Luke 7
10/01/2019 06:30:00,Luke 8
11/01/2019 06:30:00,Luke 9
12/01/2019 06:30:00,Psalm 5
13/01/2019 06:30:00,Psalm 7
14/01/2019 06:30:00,Luke 10
15/01/2019 06:30:00,Luke 11
16/01/2019 06:30:00,Luke 12
17/01/2019 06:30:00,Luke 13
18/01/2019 06:30:00,Luke 14
19/01/2019 06:30:00,Psalm 9
20/01/2019 06:30:00,Psalm 10
21/01/2019 06:30:00,Luke 15
22/01/2019 06:30:00,Luke 16
23/01/2019 06:30:00,Luke 17
24/01/2019 06:30:00,Luke 18
25/01/2019 06:30:00,Luke 19
26/01/2019 06:30:00,Psalm 11
27/01/2019 06:30:00,Psalm 13
28/01/2019 06:30:00,Luke 20
29/01/2019 06:30:00,Luke 21
30/01/2019 06:30:00,Luke 22
31/01/2019 06:30:00,Luke 23
01/02/2019 06:30:00,Luke 24
02/02/2019 06:30:00,Psalm 15
03/02/2019 06:30:00,Psalm 17
04/02/2019 06:30:00,Acts 1
05/02/2019 06:30:00,Acts 2
06/02/2019 06:30:00,Acts 3
07/02/2019 06:30:00,Acts 4
08/02/2019 06:30:00,Acts 5
09/02/2019 06:30:00,Psalm 18
10/02/2019 06:30:00,Psalm 19
11/02/2019 06:30:00,Acts 6
12/02/2019 06:30:00,Acts 7
13/02/2019 06:30:00,Acts 8
14/02/2019 06:30:00,Acts 9
15/02/2019 06:30:00,Acts 10
16/02/2019 06:30:00,Psalm 20
17/02/2019 06:30:00,Psalm 22
18/02/2019 06:30:00,Acts 11
19/02/2019 06:30:00,Acts 12
20/02/2019 06:30:00,Acts 13
21/02/2019 06:30:00,Acts 14
22/02/2019 06:30:00,Acts 15
23/02/2019 06:30:00,Psalm 23
24/02/2019 06:30:00,Psalm 25
25/02/2019 06:30:00,Acts 16
26/02/2019 06:30:00,Acts 17
27/02/2019 06:30:00,Acts 18
28/02/2019 06:30:00,Acts 19
01/03/2019 06:30:00,Acts 20
02/03/2019 06:30:00,Psalm 26
03/03/2019 06:30:00,Psalm 28
04/03/2019 06:30:00,Acts 21
05/03/2019 06:30:00,Acts 22
06/03/2019 06:30:00,Acts 23
07/03/2019 06:30:00,Acts 24
08/03/2019 06:30:00,Acts 25
09/03/2019 06:30:00,Psalm 30
10/03/2019 06:30:00,Psalm 31
11/03/2019 06:30:00,Acts 26
12/03/2019 06:30:00,Acts 27
13/03/2019 06:30:00,Acts 28
14/03/2019 06:30:00,Romans 1
15/03/2019 06:30:00,Romans 2
16/03/2019 06:30:00,Psalm 32
17/03/2019 06:30:00,Psalm 33
18/03/2019 06:30:00,Romans 3
19/03/2019 06:30:00,Romans 4
20/03/2019 06:30:00,Romans 5
21/03/2019 06:30:00,Romans 6
